Aggregation_type;-;-;-;-;-;AGG_MetMin;AGG_IndEner;AGG_MetMinEn;AGG_Ener1;AGG_Ener2;AGG_4Sec;AGG_3Sec;AGG_EnComp
Row;SpeMarg_Ely_gas_wat;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Agric_fish;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Oth_mining;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Petchem;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Non_met_min;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Oth_Manuf;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Cial_pub_sces;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_wtp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_atp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_otp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_C;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_G;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_I;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_X;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-;-;-;-;-;-
Row;VA_Tax;OthPart_IOT;Taxes;-;-;-;-;-;-;-;-;-;-
Row;Energy_Tax_IC;OthPart_IOT;Taxes;-;-;-;-;-;-;-;-;-;-
Row;Energy_Tax_FC;OthPart_IOT;Taxes;-;-;-;-;-;-;-;-;-;-
Row;ClimPolCompensbySect;OthPart_IOT;Taxes;-;-;-;-;-;-;-;-;-;-
Row;OtherIndirTax;OthPart_IOT;Taxes;-;-;-;-;-;-;-;-;-;-
Column;Crude_oil;Sectors;NonSupplierSect;-;-;-;-;-;-;-;-;-;-
Column;Natural_gas;Sectors;NonSupplierSect;-;-;-;-;-;-;-;-;-;-
Column;Petr_Ref;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Ely_gas_wat;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Agric_fish;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Oth_mining;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Petchem;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Non_met_min;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Oth_Manuf;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Cial_pub_sces;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;wtp;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;atp;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;otp;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;C;FC;-;-;-;-;-;-;-;-;-;-;-
Column;G;FC;-;-;-;-;-;-;-;-;-;-;-
Column;I;FC;-;-;-;-;-;-;-;-;-;-;-
Column;X;FC;-;-;-;-;-;-;-;-;-;-;-
