;Crude_oil;Natural_gas;Petr_Ref;Ely_gas_wat;Agric_fish;Oth_mining;Petchem;Non_met_min;Oth_Manuf;Cial_pub_sces;wtp;atp;otp;C;G;I;X;Tot_uses
Transp_margins;635400;70600;13237000;6536000;9221000;1724000;2430070.638;599527.095;59652402.27;-65189188.49;217696.4715;-6574306.016;-22560201.96;0;0;0;0;0
SpeMarg_Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_Natural_gas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_Petr_Ref;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_Ely_gas_wat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_Agric_fish;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_Oth_mining;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_Petchem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_Non_met_min;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_Oth_Manuf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_Cial_pub_sces;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_wtp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_atp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_otp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_Labour_income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_Labour_Tax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_Capital_income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_Production_Tax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_Profit_margin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_M_value;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_Trade_margin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_Transp_margin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SpeMarg_X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VA_Tax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Energy_Tax_IC;0;0;0;-34500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Energy_Tax_FC;0;0;0;-115500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ClimPolCompensbySect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OtherIndirTax;0;0;267000;0;1097000;205000;13923750;60000;5622250;0;0;0;0;0;0;0;0;0
Tot_ressources;1124992015;10092793.97;164748633.7;31984235.52;115359619.5;26144933.05;193609646.5;21117973.5;1148228479;1892413397;6710581.523;6969735.249;44007766.46;0;0;0;0;0
Thousand_of_SAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
